Team,allAmerTeam,sosTeam,espnTeam,rivalsTeam,James,TR
Duke (NC),Duke,Duke,Duke,Duke,Duke,Duke
East Carolina (NC),East Carolina,East Carolina,East Carolina,East Carolina,East Carolina,E Carolina
Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,,E Michigan
Florida,Florida,Florida,Florida,Florida,Florida,Florida
Florida Atlantic,,Florida Atlantic,Florida Atlantic,Florida Atlantic,,Fla Atlantic
Florida International,,Fla. International,Florida International,FIU,,Florida Intl
Florida St.,Florida State,Florida State,Florida State,Florida State,Florida State,Florida St
Fresno St. (CA),Fresno State,Fresno State,Fresno State,Fresno State,Fresno State,Fresno St
Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
Georgia St.,,Georgia State,Georgia State,,,Georgia State
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,GA Tech
Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,,Hawaii
Houston (TX),Houston,Houston,Houston,Houston,Houston,Houston
Idaho,Idaho,Idaho,Idaho,Idaho,,Idaho
Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
Indiana,Indiana,Indiana,Indiana,Indiana,,Indiana
Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa
Iowa St.,Iowa State,Iowa State,Iowa State,Iowa State,,Iowa State
Kansas,Kansas,Kansas,Kansas,Kansas,,Kansas
Kansas St.,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,Kansas St
Kent St. (OH),,Kent State,Kent State,Kent State,,Kent State
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,,Kentucky
Louisiana-Lafayette,,Louisiana-Lafayette,Louisiana-Lafayette,Louisiana-Lafayette,LA-Lafayette,LA Lafayette
Louisiana-Monroe,,Louisiana-Monroe,Louisiana-Monroe,Louisiana-Monroe,,LA Monroe
Louisiana St.,LSU,LSU,LSU,LSU,LSU,LSU
Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,LA Tech
Louisville (KY),Louisville,Louisville,Louisville,Louisville,Louisville,Louisville
Marshall (WV),Marshall,Marshall,Marshall,Marshall,Marshall,Marshall
Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland
Massachusetts,,Massachusetts,Massachusetts,Massachusetts,,U Mass
Memphis (TN),Memphis,Memphis,Memphis,Memphis,Memphis,Memphis
Miami (FL),Miami,Miami-Florida,Miami (FL),Miami (FL),Miami,Miami (FL)
Miami (OH),Miami OH,Miami-Ohio,Miami (OH),Miami (OH),,Miami (OH)
Michigan,Michigan,Michigan,Michigan,Michigan,,Michigan
Michigan St.,Michigan State,Michigan State,Michigan State,Michigan State,Michigan State,Michigan St
Middle Tennessee St.,,Middle Tennessee,Middle Tennessee,Middle Tennessee,,Middle Tenn
Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
Mississippi,Mississippi,Mississippi,Mississippi,Mississippi,Ole Miss,Mississippi
Mississippi St.,Mississippi State,Mississippi State,Mississippi State,Mississippi State,Mississippi State,Miss State
Missouri,Missouri,Missouri,Missouri,Missouri,Missouri,Missouri
Navy (MD),Navy,Navy,Navy,Navy,Navy,Navy
Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada
Nevada-Las Vegas,UNLV,UNLV,UNLV,UNLV,,UNLV
New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,,New Mexico
New Mexico St.,,New Mexico State,New Mexico State,New Mexico State,,N Mex State
North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,N Carolina
North Carolina St.,North Carolina State,No. Carolina State,North Carolina State,North Carolina State,NC State,NC State
North Texas,North Texas,North Texas,North Texas,North Texas,,North Texas
Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,N Illinois
Northwestern (IL),Northwestern,Northwestern,Northwestern,Northwestern,,Northwestern
